"Country Cd","State Cd","County Cd","County Nm","State","Name"
"US",1,1,"Autauga County","AL","Alabama"
"US",1,3,"Baldwin County","AL","Alabama"
"US",1,5,"Barbour County","AL","Alabama"
"US",1,7,"Bibb County","AL","Alabama"
"US",1,9,"Blount County","AL","Alabama"
"US",1,11,"Bullock County","AL","Alabama"
"US",1,13,"Butler County","AL","Alabama"
"US",1,15,"Calhoun County","AL","Alabama"
"US",1,17,"Chambers County","AL","Alabama"
"US",1,19,"Cherokee County","AL","Alabama"
"US",1,21,"Chilton County","AL","Alabama"
"US",1,23,"Choctaw County","AL","Alabama"
"US",1,25,"Clarke County","AL","Alabama"
"US",1,27,"Clay County","AL","Alabama"
"US",1,29,"Cleburne County","AL","Alabama"
"US",1,31,"Coffee County","AL","Alabama"
"US",1,33,"Colbert County","AL","Alabama"
"US",1,35,"Conecuh County","AL","Alabama"
"US",1,37,"Coosa County","AL","Alabama"
"US",1,39,"Covington County","AL","Alabama"
"US",1,41,"Crenshaw County","AL","Alabama"
"US",1,43,"Cullman County","AL","Alabama"
"US",1,45,"Dale County","AL","Alabama"
"US",1,47,"Dallas County","AL","Alabama"
"US",1,49,"Dekalb County","AL","Alabama"
"US",1,51,"Elmore County","AL","Alabama"
"US",1,53,"Escambia County","AL","Alabama"
"US",1,55,"Etowah County","AL","Alabama"
"US",1,57,"Fayette County","AL","Alabama"
"US",1,59,"Franklin County","AL","Alabama"
"US",1,61,"Geneva County","AL","Alabama"
"US",1,63,"Greene County","AL","Alabama"
"US",1,65,"Hale County","AL","Alabama"
"US",1,67,"Henry County","AL","Alabama"
"US",1,69,"Houston County","AL","Alabama"
"US",1,71,"Jackson County","AL","Alabama"
"US",1,73,"Jefferson County","AL","Alabama"
"US",1,75,"Lamar County","AL","Alabama"
"US",1,77,"Lauderdale County","AL","Alabama"
"US",1,79,"Lawrence County","AL","Alabama"
"US",1,81,"Lee County","AL","Alabama"
"US",1,83,"Limestone County","AL","Alabama"
"US",1,85,"Lowndes County","AL","Alabama"
"US",1,87,"Macon County","AL","Alabama"
"US",1,89,"Madison County","AL","Alabama"
"US",1,91,"Marengo County","AL","Alabama"
"US",1,93,"Marion County","AL","Alabama"
"US",1,95,"Marshall County","AL","Alabama"
"US",1,97,"Mobile County","AL","Alabama"
"US",1,99,"Monroe County","AL","Alabama"
"US",1,101,"Montgomery County","AL","Alabama"
"US",1,103,"Morgan County","AL","Alabama"
"US",1,105,"Perry County","AL","Alabama"
"US",1,107,"Pickens County","AL","Alabama"
"US",1,109,"Pike County","AL","Alabama"
"US",1,111,"Randolph County","AL","Alabama"
"US",1,113,"Russell County","AL","Alabama"
"US",1,115,"St. Clair County","AL","Alabama"
"US",1,117,"Shelby County","AL","Alabama"
"US",1,119,"Sumter County","AL","Alabama"
"US",1,121,"Talladega County","AL","Alabama"
"US",1,123,"Tallapoosa County","AL","Alabama"
"US",1,125,"Tuscaloosa County","AL","Alabama"
"US",1,127,"Walker County","AL","Alabama"
"US",1,129,"Washington County","AL","Alabama"
"US",1,131,"Wilcox County","AL","Alabama"
"US",1,133,"Winston County","AL","Alabama"
"US",2,13,"Aleutians East Borough","AK","Alaska"
"US",2,16,"Aleutians West Census Area County","AK","Alaska"
"US",2,20,"Municipality Of Anchorage","AK","Alaska"
"US",2,50,"Bethel Census Area County","AK","Alaska"
"US",2,60,"Bristol Bay Borough","AK","Alaska"
"US",2,68,"Denali Borough","AK","Alaska"
"US",2,70,"Dillingham Census Area County","AK","Alaska"
"US",2,90,"Fairbanks North Star Borough","AK","Alaska"
"US",2,100,"Haines Borough","AK","Alaska"
"US",2,105,"Hoonah-Angoon Census Area County","AK","Alaska"
"US",2,110,"City And Borough Of Juneau","AK","Alaska"
"US",2,122,"Kenai Peninsula Borough","AK","Alaska"
"US",2,130,"Ketchikan Gateway Borough","AK","Alaska"
"US",2,150,"Kodiak Island Borough","AK","Alaska"
